GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
29091,Missouri,Howell County,40076,34055,343,8.5587,14,0.3493
53037,Washington,Kittitas County,47364,42603,405,8.5508,1,0.0211
54041,West Virginia,Lewis County,16024,40653,137,8.5497,0,0.0
12041,Florida,Gilchrist County,18256,33774,156,8.5451,2,0.1096
10001,Delaware,Kent County,178550,42023,1525,8.541,10,0.056
22027,Louisiana,Claiborne Parish,15944,35240,136,8.5299,5,0.3136
54073,West Virginia,Pleasants County,7507,43883,64,8.5254,1,0.1332
21007,Kentucky,Ballard County,7979,37939,68,8.5224,1,0.1253
13047,Georgia,Catoosa County,67420,35158,574,8.5138,6,0.089
28147,Mississippi,Walthall County,14465,31757,123,8.5033,2,0.1383
28091,Mississippi,Marion County,24715,34526,210,8.4969,2,0.0809
13257,Georgia,Stephens County,26035,38915,221,8.4886,3,0.1152
28049,Mississippi,Hinds County,237085,39311,2011,8.4822,19,0.0801
12021,Florida,Collier County,378488,92686,3207,8.4732,24,0.0634
12095,Florida,Orange County,1380645,44647,11698,8.4729,85,0.0616
25017,Massachusetts,Middlesex County,1614714,83795,13673,8.4678,144,0.0892
12003,Florida,Baker County,28355,32313,240,8.4641,9,0.3174
06029,California,Kern County,896764,39703,7579,8.4515,24,0.0268
35047,New Mexico,San Miguel County,27591,34579,233,8.4448,2,0.0725
