State,GeoFIPS,County,population,total_cases
New York,36029,Erie County,919719,30073
Massachusetts,25027,Worcester County,830839,29883
Florida,12105,Polk County,708009,29826
Texas,48085,Collin County,1005146,29797
Idaho,16001,Ada County,469966,29063
Georgia,13067,Cobb County,756865,28717
California,6077,San Joaquin County,752660,28532
Nevada,32031,Washoe County,465735,28297
Georgia,13089,DeKalb County,756558,28223
California,6013,Contra Costa County,1150215,28088
South Carolina,45045,Greenville County,514213,27266
Texas,48061,Cameron County,423908,26937
Maryland,24510,Baltimore,602495,26592
Ohio,39113,Montgomery County,532331,26571
Pennsylvania,42091,Montgomery County,828604,25825
Texas,48355,Nueces County,362265,25612
Minnesota,27037,Dakota County,425423,25545
Louisiana,22051,Jefferson Parish,434051,25316
Minnesota,27003,Anoka County,353813,25287
California,6099,Stanislaus County,549815,24861
Wisconsin,55009,Brown County,263378,24697
Texas,48157,Fort Bend County,787858,24683
New Jersey,34029,Ocean County,601651,24547
Colorado,8059,Jefferson County,580233,24203
New York,36085,Richmond County,476179,23976
Massachusetts,25005,Bristol County,564022,23913
California,6107,Tulare County,465861,23662
District of Columbia,11001,District of Columbia,702455,23589
Delaware,10003,New Castle County,559335,23576
New Jersey,34025,Monmouth County,621354,23524
California,6111,Ventura County,850967,23473
New York,36087,Rockland County,325695,23072
Texas,48121,Denton County,859064,23050
Pennsylvania,42045,Delaware County,564751,22761
Indiana,18003,Allen County,375351,22739
Missouri,29183,St. Charles County,399182,22475
Tennessee,47093,Knox County,465289,22352
South Carolina,45079,Richland County,414576,22219
New Jersey,34007,Camden County,507078,22191
South Dakota,46099,Minnehaha County,192876,22081
Texas,48479,Webb County,275910,21587
Pennsylvania,42017,Bucks County,628195,21586
Alabama,1097,Mobile County,413757,21457
Louisiana,22033,East Baton Rouge Parish,440956,21419
South Carolina,45019,Charleston County,405905,21193
Illinois,17201,Winnebago County,284081,20860
Indiana,18141,St. Joseph County,270771,20610
Arizona,4027,Yuma County,212128,20490
Tennessee,47149,Rutherford County,324890,20346
Florida,12097,Osceola County,367990,20280
Massachusetts,25021,Norfolk County,705388,20227
Oregon,41051,Multnomah County,811880,19995
Indiana,18039,Elkhart County,205560,19915
New York,36055,Monroe County,742474,19871
Pennsylvania,42071,Lancaster County,543557,19805
Texas,48339,Montgomery County,590925,19784
Ohio,39017,Butler County,382378,19620
Arizona,4021,Pinal County,447138,19579
Kentucky,21067,Fayette County,323780,19451
Washington,53063,Spokane County,514631,19436
Tennessee,47065,Hamilton County,364286,19435
Ohio,39153,Summit County,541918,19312
Florida,12021,Collier County,378488,19241
Massachusetts,25013,Hampden County,470406,19205
Ohio,39095,Lucas County,429899,19084
Washington,53053,Pierce County,891299,19061
Nebraska,31109,Lancaster County,317272,19023
Utah,49011,Davis County,351713,18792
Alaska,2020,Anchorage Municipality,291538,18742
North Carolina,37081,Guilford County,533670,18682
Maryland,24003,Anne Arundel County,576031,18647
Arkansas,5119,Pulaski County,392680,18542
New York,36071,Orange County,381951,18534
Florida,12081,Manatee County,394855,17906
North Dakota,38017,Cass County,181516,17888
Florida,12033,Escambia County,315534,17768
Florida,12127,Volusia County,547538,17624
Indiana,18057,Hamilton County,330086,17507
California,6075,San Francisco County,883305,17502
Michigan,26049,Genesee County,406892,17420
California,6025,Imperial County,181827,17400
Massachusetts,25023,Plymouth County,518132,17376
Louisiana,22071,Orleans Parish,391006,17194
Idaho,16027,Canyon County,223499,17135
Arkansas,5143,Washington County,236961,17056
California,6053,Monterey County,435594,17018
Washington,53061,Snohomish County,814901,16990
Florida,12009,Brevard County,596849,16730
Florida,12101,Pasco County,539630,16647
Wisconsin,55101,Racine County,196584,16601
Illinois,17119,Madison County,264461,16537
Pennsylvania,42011,Berks County,420152,16468
South Carolina,45051,Horry County,344147,16427
California,6081,San Mateo County,769545,16371
Colorado,8123,Weld County,314305,16288
Florida,12073,Leon County,292502,16220
Alabama,1089,Madison County,366519,15995
Minnesota,27163,Washington County,259201,15946
Hawaii,15003,Honolulu County,980080,15879
Missouri,29077,Greene County,291923,15860
Texas,48167,Galveston County,337890,15857
New Jersey,34005,Burlington County,445384,15785
Illinois,17111,McHenry County,308570,15776
Michigan,26139,Ottawa County,290494,15632
New Jersey,34027,Morris County,494228,15579
Texas,48039,Brazoria County,370200,15513
Wisconsin,55087,Outagamie County,187365,15504
Texas,48309,McLennan County,254607,15440
Illinois,17163,St. Clair County,261059,15362
Wisconsin,55139,Winnebago County,171020,15347
Minnesota,27145,Stearns County,159256,15303
New Jersey,34021,Mercer County,369811,15281
North Carolina,37067,Forsyth County,379099,15134
Iowa,19113,Linn County,225909,15134
Florida,12115,Sarasota County,426718,15117
Texas,48491,Williamson County,566719,14934
Washington,53077,Yakima County,251446,14864
New Mexico,35013,Doña Ana County,217522,14777
Utah,49057,Weber County,256359,14704
Louisiana,22017,Caddo Parish,242922,14649
Alabama,1125,Tuscaloosa County,208911,14619
Oklahoma,40027,Cleveland County,281669,14559
Pennsylvania,42029,Chester County,522046,14470
South Carolina,45083,Spartanburg County,313888,14456
Pennsylvania,42133,York County,448273,14436
Florida,12117,Seminole County,467832,14391
Missouri,29510,St. Louis,302838,14255
Florida,12083,Marion County,359977,14183
Ohio,39151,Stark County,371574,13909
Texas,48375,Potter County,119648,13878
California,6047,Merced County,274765,13851
Pennsylvania,42077,Lehigh County,368100,13760
California,6097,Sonoma County,499942,13719
Florida,12001,Alachua County,269956,13620
Georgia,13139,Hall County,202148,13517
Arkansas,5007,Benton County,272608,13437
Alabama,1101,Montgomery County,225763,13238
Louisiana,22055,Lafayette Parish,242782,13225
New York,36067,Onondaga County,461809,13188
Nebraska,31153,Sarpy County,184459,13106
Missouri,29099,Jefferson County,224347,13053
Tennessee,47187,Williamson County,231729,12804
California,6031,Kings County,151366,12721
South Carolina,45063,Lexington County,295032,12683
North Dakota,38015,Burleigh County,95273,12561
Colorado,8035,Douglas County,342776,12514
California,6083,Santa Barbara County,446527,12502
Kansas,20209,Wyandotte County,165324,12398
Oregon,41067,Washington County,597695,12375
Colorado,8013,Boulder County,326078,12353
Texas,48381,Randall County,136271,12329
Iowa,19163,Scott County,173283,12319
North Carolina,37063,Durham County,316739,12200
