State,GeoFIPS,County,population,total_cases
Texas,48397,Rockwall County,100657,3717
Iowa,19127,Marshall County,39981,3690
Florida,12087,Monroe County,75027,3687
Illinois,17027,Clinton County,37639,3684
Georgia,13217,Newton County,109541,3678
Tennessee,47053,Gibson County,49045,3661
Minnesota,27111,Otter Tail County,58812,3654
Texas,48183,Gregg County,123707,3646
Tennessee,47059,Greene County,69087,3630
New Mexico,35061,Valencia County,76456,3615
Ohio,39119,Muskingum County,86183,3613
Wyoming,56013,Fremont County,39531,3604
Iowa,19045,Clinton County,46518,3603
Arkansas,5093,Mississippi County,41239,3592
Wisconsin,55083,Oconto County,37830,3574
Alabama,1033,Colbert County,54762,3570
Illinois,17029,Coles County,50885,3563
Tennessee,47001,Anderson County,76482,3560
Georgia,13095,Dougherty County,91243,3557
Montana,30049,Lewis and Clark County,68700,3556
North Carolina,37049,Craven County,102912,3555
Minnesota,27025,Chisago County,55922,3550
Florida,12089,Nassau County,85832,3550
North Carolina,37061,Duplin County,58856,3549
Mississippi,28071,Lafayette County,54793,3549
Georgia,13157,Jackson County,70422,3546
Arkansas,5035,Crittenden County,48342,3538
Georgia,13013,Barrow County,80809,3530
Arkansas,5055,Greene County,45325,3521
Connecticut,9013,Tolland County,150921,3519
Nebraska,31119,Madison County,35392,3501
Florida,12039,Gadsden County,45894,3497
Indiana,18017,Cass County,37955,3491
Mississippi,28151,Washington County,45063,3486
New York,36015,Chemung County,84254,3473
West Virginia,54011,Cabell County,93224,3470
North Carolina,37089,Henderson County,116748,3459
Minnesota,27009,Benton County,40545,3457
Florida,12121,Suwannee County,44191,3457
Tennessee,47045,Dyer County,37320,3454
Wisconsin,55075,Marinette County,40434,3452
Georgia,13285,Troup County,70034,3452
Kentucky,21145,McCracken County,65346,3443
New Mexico,35009,Curry County,49437,3441
Alabama,1009,Blount County,57840,3436
Arkansas,5033,Crawford County,63406,3431
North Carolina,37125,Moore County,98682,3429
New York,36079,Putnam County,98892,3428
Utah,49045,Tooele County,69907,3428
North Carolina,37157,Rockingham County,90690,3422
Virginia,51740,Portsmouth,94632,3410
Washington,53067,Thurston County,286419,3407
Georgia,13031,Bulloch County,77296,3388
Colorado,8043,Fremont County,48021,3382
Michigan,26111,Midland County,83209,3378
North Carolina,37019,Brunswick County,136744,3372
Kentucky,21037,Campbell County,93152,3372
Ohio,39107,Mercer County,40959,3365
Arizona,4007,Gila County,53889,3365
South Carolina,45047,Greenwood County,70741,3362
Michigan,26159,Van Buren County,75448,3360
South Carolina,45031,Darlington County,66802,3356
Arkansas,5145,White County,78727,3343
Wyoming,56005,Campbell County,46140,3338
Texas,48465,Val Verde County,49208,3336
Kentucky,21029,Bullitt County,81069,3326
Nevada,32510,Carson City,55414,3319
New Mexico,35015,Eddy County,57900,3315
Georgia,13129,Gordon County,57685,3314
Nebraska,31043,Dakota County,20083,3313
Ohio,39063,Hancock County,75930,3309
Nebraska,31141,Platte County,33363,3305
Kentucky,21047,Christian County,71671,3301
Indiana,18113,Noble County,47532,3296
Tennessee,47031,Coffee County,55700,3291
North Carolina,37167,Stanly County,62075,3279
California,6017,El Dorado County,190678,3275
Ohio,39043,Erie County,74615,3273
Minnesota,27105,Nobles County,21924,3272
Nevada,32007,Elko County,52460,3259
Indiana,18011,Boone County,66999,3259
Wyoming,56001,Albany County,38601,3256
Iowa,19021,Buena Vista County,19874,3250
Illinois,17141,Ogle County,50923,3249
Texas,48001,Anderson County,58057,3248
Tennessee,47043,Dickson County,53446,3231
Georgia,13297,Walton County,93503,3229
Mississippi,28073,Lamar County,62447,3222
Tennessee,47003,Bedford County,49038,3218
Illinois,17063,Grundy County,50972,3218
Missouri,29213,Taney County,55852,3215
Pennsylvania,42097,Northumberland County,91083,3214
Pennsylvania,42051,Fayette County,130441,3211
North Dakota,38105,Williams County,35350,3201
Iowa,19139,Muscatine County,42929,3197
Ohio,39037,Darke County,51323,3196
West Virginia,54107,Wood County,84203,3191
Connecticut,9015,Windham County,117027,3191
Illinois,17049,Effingham County,34208,3191
Michigan,26037,Clinton County,79332,3190
Missouri,29159,Pettis County,42542,3189
Illinois,17095,Knox County,50112,3189
South Carolina,45055,Kershaw County,65592,3186
Michigan,26103,Marquette County,66516,3185
Wisconsin,55033,Dunn County,45131,3184
Nebraska,31053,Dodge County,36791,3181
Kansas,20175,Seward County,21780,3181
New York,36093,Schenectady County,155350,3179
Tennessee,47019,Carter County,56351,3179
Minnesota,27169,Winona County,50825,3151
Missouri,29027,Callaway County,44889,3150
Michigan,26091,Lenawee County,98266,3148
Indiana,18065,Henry County,48271,3135
Tennessee,47099,Lawrence County,43734,3128
North Carolina,37171,Surry County,71948,3123
Iowa,19057,Des Moines County,39138,3118
Iowa,19181,Warren County,51056,3116
Oklahoma,40145,Wagoner County,80110,3114
Alabama,1001,Autauga County,55601,3112
Michigan,26087,Lapeer County,88028,3107
Indiana,18037,Dubois County,42565,3107
Missouri,29145,Newton County,58266,3096
Oklahoma,40051,Grady County,55551,3090
Idaho,16011,Bingham County,46236,3090
Ohio,39141,Ross County,76931,3078
New Jersey,34037,Sussex County,140799,3068
Florida,12107,Putnam County,74163,3064
Illinois,17073,Henry County,49090,3062
Indiana,18109,Morgan County,70116,3056
Arkansas,5059,Hot Spring County,33701,3052
Arkansas,5085,Lonoke County,73657,3050
Pennsylvania,42063,Indiana County,84501,3044
Oklahoma,40013,Bryan County,47192,3037
Indiana,18071,Jackson County,44111,3037
Virginia,51650,Hampton,134313,3035
Minnesota,27041,Douglas County,37964,3013
Ohio,39007,Ashtabula County,97493,3012
Tennessee,47107,McMinn County,53285,3012
Oklahoma,40037,Creek County,71604,3006
Illinois,17077,Jackson County,57419,3005
Iowa,19149,Plymouth County,25095,3004
Virginia,51800,Suffolk,91185,2986
North Carolina,37193,Wilkes County,68557,2986
Pennsylvania,42081,Lycoming County,113664,2978
Ohio,39055,Geauga County,94031,2966
South Carolina,45043,Georgetown County,62249,2966
Georgia,13113,Fayette County,113459,2965
Missouri,29201,Scott County,38458,2962
Texas,48231,Hunt County,96493,2961
Louisiana,22099,St. Martin Parish,53621,2961
Florida,12035,Flagler County,112067,2959
Texas,48277,Lamar County,49728,2951
Minnesota,27099,Mower County,40011,2946
Indiana,18029,Dearborn County,49568,2940
Wisconsin,55093,Pierce County,42555,2939
South Dakota,46029,Codington County,28015,2936
Michigan,26149,St. Joseph County,61043,2935
Kentucky,21185,Oldham County,66470,2924
Kansas,20169,Saline County,54401,2921
Oregon,41017,Deschutes County,191996,2919
Washington,53035,Kitsap County,269805,2919
Wisconsin,55081,Monroe County,46051,2917
Tennessee,47131,Obion County,30267,2917
Tennessee,47035,Cumberland County,59673,2912
Texas,48005,Angelina County,87092,2912
North Carolina,37047,Columbus County,55655,2902
Kansas,20111,Lyon County,33406,2895
Nebraska,31157,Scotts Bluff County,35989,2893
Minnesota,27119,Polk County,31529,2890
New York,36091,Saratoga County,230163,2888
Louisiana,22089,St. Charles Parish,52879,2884
Ohio,39011,Auglaize County,45804,2872
North Carolina,37161,Rutherford County,66826,2866
New Jersey,34041,Warren County,105779,2858
California,6035,Lassen County,30802,2856
Alaska,2122,Kenai Peninsula Borough,58533,2844
Georgia,13069,Coffee County,43093,2842
Louisiana,22113,Vermilion Parish,59830,2841
Michigan,26067,Ionia County,64210,2837
Illinois,17121,Marion County,37620,2837
Mississippi,28087,Lowndes County,58930,2821
Georgia,13247,Rockdale County,90594,2821
New Jersey,34019,Hunterdon County,124714,2818
Michigan,26073,Isabella County,70562,2816
Texas,48361,Orange County,83572,2804
Tennessee,47145,Roane County,53140,2802
Louisiana,22061,Lincoln Parish,47196,2801
Georgia,13295,Walker County,69410,2800
Oklahoma,40087,McClain County,39985,2798
Kentucky,21125,Laurel County,60669,2794
Ohio,39145,Scioto County,75502,2792
Missouri,29113,Lincoln County,57686,2784
South Carolina,45059,Laurens County,66994,2780
Pennsylvania,42073,Lawrence County,86184,2772
Virginia,51085,Hanover County,107239,2770
Iowa,19179,Wapello County,35205,2764
Maine,23031,York County,206229,2759
North Carolina,37077,Granville County,60115,2746
Missouri,29101,Johnson County,53652,2744
Alabama,1031,Coffee County,51909,2738
Washington,53073,Whatcom County,225685,2737
Alabama,1059,Franklin County,31363,2733
North Carolina,37065,Edgecombe County,52005,2729
Tennessee,47177,Warren County,40878,2724
North Dakota,38093,Stutsman County,20917,2717
Illinois,17177,Stephenson County,44753,2713
Mississippi,28105,Oktibbeha County,49599,2708
Washington,53007,Chelan County,77036,2707
Kansas,20051,Ellis County,28710,2707
Massachusetts,25015,Hampshire County,161355,2706
North Carolina,37105,Lee County,61452,2701
Oklahoma,40079,Le Flore County,49980,2696
Wisconsin,55121,Trempealeau County,29442,2687
Texas,48291,Liberty County,86323,2678
Ohio,39137,Putnam County,33780,2674
Florida,12051,Hendry County,41556,2672
Missouri,29029,Camden County,45815,2671
Texas,48099,Coryell County,74808,2667
Kansas,20037,Crawford County,39019,2665
Michigan,26041,Delta County,35857,2662
Tennessee,47089,Jefferson County,54012,2659
Mississippi,28011,Bolivar County,31333,2657
Wisconsin,55031,Douglas County,43208,2654
Texas,48221,Hood County,60537,2653
Colorado,8037,Eagle County,54993,2652
California,6115,Yuba County,78041,2650
Rhode Island,44009,Washington County,126179,2641
Tennessee,47105,Loudon County,53054,2634
Pennsylvania,42039,Crawford County,85063,2630
Colorado,8045,Garfield County,59770,2630
New Hampshire,33013,Merrimack County,151132,2629
Minnesota,27085,McLeod County,35873,2629
Utah,49003,Box Elder County,54950,2626
Indiana,18145,Shelby County,44593,2626
Minnesota,27097,Morrison County,33169,2621
South Dakota,46011,Brookings County,35232,2620
Texas,48037,Bowie County,94324,2611
Georgia,13009,Baldwin County,44823,2601
Ohio,39159,Union County,57835,2599
Michigan,26023,Branch County,43622,2599
Oklahoma,40021,Cherokee County,48675,2595
Arkansas,5079,Lincoln County,13383,2594
Illinois,17117,Macoupin County,45313,2593
Alabama,1045,Dale County,48956,2591
Illinois,17157,Randolph County,32106,2588
Pennsylvania,42111,Somerset County,73952,2583
Wisconsin,55019,Clark County,34709,2582
Florida,12027,DeSoto County,37489,2579
Idaho,16069,Nez Perce County,40408,2573
Pennsylvania,42001,Adams County,102811,2570
Colorado,8075,Logan County,21528,2568
Nebraska,31111,Lincoln County,35185,2566
Michigan,26027,Cass County,51653,2564
Wisconsin,55085,Oneida County,35470,2558
Oklahoma,40139,Texas County,20455,2555
Illinois,17105,Livingston County,35761,2555
Tennessee,47123,Monroe County,46357,2554
Utah,49051,Wasatch County,33240,2553
Oregon,41045,Malheur County,30725,2550
Georgia,13137,Habersham County,45388,2549
Illinois,17137,Morgan County,33976,2543
Ohio,39149,Shelby County,48627,2539
Texas,48021,Bastrop County,86976,2537
Mississippi,28107,Panola County,34178,2533
Michigan,26015,Barry County,61157,2531
Ohio,39087,Lawrence County,59866,2526
Wisconsin,55095,Polk County,43598,2520
South Dakota,46035,Davison County,19790,2520
Washington,53071,Walla Walla County,60922,2516
Montana,30093,Silver Bow County,34993,2515
Louisiana,22101,St. Mary Parish,49774,2515
Maryland,24015,Cecil County,102826,2514
Georgia,13277,Tift County,40571,2502
Tennessee,47047,Fayette County,40507,2494
Texas,48199,Hardin County,57207,2491
Washington,53075,Whitman County,49791,2486
Maryland,24037,St. Mary's County,112664,2486
Utah,49043,Summit County,41933,2485
North Carolina,37037,Chatham County,73139,2481
Minnesota,27083,Lyon County,25629,2474
Minnesota,27049,Goodhue County,46403,2466
Ohio,39147,Seneca County,55207,2460
Indiana,18051,Gibson County,33452,2458
North Carolina,37107,Lenoir County,55976,2452
Alabama,1021,Chilton County,44153,2449
Tennessee,47051,Franklin County,41890,2446
Kentucky,21211,Shelby County,48518,2438
Louisiana,22117,Washington Parish,46582,2438
Minnesota,27007,Beltrami County,46847,2435
Mississippi,28099,Neshoba County,29125,2434
Ohio,39009,Athens County,65818,2433
Alabama,1047,Dallas County,38310,2423
Arizona,4009,Graham County,38072,2419
Indiana,18033,DeKalb County,43226,2415
Indiana,18023,Clinton County,32250,2413
Iowa,19105,Jones County,20744,2412
South Carolina,45021,Cherokee County,57078,2408
Missouri,29023,Butler County,42639,2407
Oklahoma,40089,McCurtain County,32703,2404
Indiana,18083,Knox County,36895,2403
Alabama,1039,Covington County,36986,2401
Pennsylvania,42087,Mifflin County,46222,2399
Michigan,26155,Shiawassee County,68192,2398
Iowa,19099,Jasper County,37147,2395
Virginia,51047,Culpeper County,51859,2392
Indiana,18093,Lawrence County,45668,2387
South Dakota,46005,Beadle County,18883,2386
Michigan,26117,Montcalm County,63968,2385
Mississippi,28093,Marshall County,35451,2378
Illinois,17133,Monroe County,34335,2378
Texas,48497,Wise County,68305,2376
Kentucky,21179,Nelson County,45851,2376
Iowa,19111,Lee County,34055,2374
Illinois,17055,Franklin County,38701,2373
Tennessee,47069,Hardeman County,25220,2367
Minnesota,27005,Becker County,34371,2367
Illinois,17011,Bureau County,32993,2367
Michigan,26055,Grand Traverse County,92573,2366
Tennessee,47183,Weakley County,33415,2362
Kentucky,21101,Henderson County,45591,2360
Ohio,39077,Huron County,58504,2351
Georgia,13175,Laurens County,47325,2351
Ohio,39143,Sandusky County,58799,2348
Mississippi,28115,Pontotoc County,31833,2347
Georgia,13071,Colquitt County,45592,2342
Pennsylvania,42033,Clearfield County,79388,2341
South Carolina,45071,Newberry County,38520,2335
Colorado,8014,Broomfield County,69267,2329
New York,36105,Sullivan County,75498,2326
Alabama,1113,Russell County,57781,2326
Louisiana,22069,Natchitoches Parish,38659,2320
Washington,53057,Skagit County,128206,2318
West Virginia,54079,Putnam County,56682,2310
Oklahoma,40147,Washington County,51843,2310
Georgia,13047,Catoosa County,67420,2310
Utah,49021,Iron County,52775,2308
Tennessee,47073,Hawkins County,56530,2308
Oklahoma,40039,Custer County,29036,2304
Idaho,16031,Cassia County,23864,2291
Texas,48227,Howard County,36459,2288
Mississippi,28095,Monroe County,35564,2287
Louisiana,22009,Avoyelles Parish,40462,2284
Arkansas,5091,Miller County,43592,2277
Ohio,39013,Belmont County,67505,2269
Texas,48071,Chambers County,42454,2267
North Carolina,37069,Franklin County,67560,2266
Minnesota,27061,Itasca County,45108,2265
Arkansas,5063,Independence County,37678,2261
Washington,53017,Douglas County,42907,2257
Minnesota,27147,Steele County,36803,2250
Oklahoma,40123,Pontotoc County,38247,2245
Oklahoma,40113,Osage County,47014,2243
Louisiana,22037,East Feliciana Parish,19305,2239
Mississippi,28083,Leflore County,28919,2235
South Dakota,46081,Lawrence County,25741,2230
Louisiana,22119,Webster Parish,38798,2228
Oklahoma,40015,Caddo County,28977,2226
Kentucky,21009,Barren County,44176,2225
Illinois,17103,Lee County,34223,2220
Minnesota,27059,Isanti County,39966,2217
California,6069,San Benito County,61537,2214
Wyoming,56033,Sheridan County,30233,2213
Iowa,19125,Marion County,33407,2212
Indiana,18169,Wabash County,31280,2211
New York,36083,Rensselaer County,159442,2210
Wisconsin,55069,Lincoln County,27689,2207
Kentucky,21019,Boyd County,47240,2207
Arkansas,5123,St. Francis County,25439,2206
Indiana,18103,Miami County,35567,2204
Wyoming,56037,Sweetwater County,43051,2200
Minnesota,27017,Carlton County,35837,2199
Ohio,39097,Madison County,44413,2196
Pennsylvania,42015,Bradford County,60833,2192
Indiana,18001,Adams County,35636,2192
Alabama,1053,Escambia County,36748,2191
Louisiana,22047,Iberville Parish,32721,2191
Illinois,17081,Jefferson County,37820,2187
Tennessee,47097,Lauderdale County,25825,2185
Arkansas,5067,Jackson County,16811,2184
Pennsylvania,42005,Armstrong County,65263,2180
Louisiana,22003,Allen Parish,25605,2180
Nebraska,31047,Dawson County,23709,2179
North Carolina,37111,McDowell County,45507,2164
Louisiana,22039,Evangeline Parish,33443,2163
Florida,12093,Okeechobee County,41537,2161
North Carolina,37083,Halifax County,50574,2159
Georgia,13103,Effingham County,62190,2158
North Carolina,37189,Watauga County,55945,2155
Texas,48249,Jim Wells County,40822,2155
Florida,12003,Baker County,28355,2154
Oklahoma,40041,Delaware County,42733,2153
Oklahoma,40071,Kay County,44161,2153
North Carolina,37093,Hoke County,54764,2151
Louisiana,22095,St. John the Baptist Parish,43184,2144
New York,36101,Steuben County,95796,2126
Kentucky,21113,Jessamine County,53920,2124
Ohio,39081,Jefferson County,65767,2121
Illinois,17203,Woodford County,38463,2115
Kentucky,21195,Pike County,58402,2111
New York,36075,Oswego County,117898,2110
Virginia,51019,Bedford County,78747,2109
Mississippi,28085,Lincoln County,34205,2107
North Carolina,37165,Scotland County,34810,2103
Texas,48025,Bee County,32587,2103
Iowa,19087,Henry County,20067,2101
Kentucky,21083,Graves County,37317,2100
South Dakota,46135,Yankton County,22869,2098
Iowa,19027,Carroll County,20154,2096
Georgia,13233,Polk County,42470,2095
Tennessee,47077,Henderson County,27847,2092
North Carolina,37153,Richmond County,44887,2089
Illinois,17051,Fayette County,21416,2088
Kentucky,21107,Hopkins County,45068,2086
Iowa,19017,Bremer County,24947,2084
Wisconsin,55057,Juneau County,26617,2082
Oklahoma,40121,Pittsburg County,43877,2082
Texas,48213,Henderson County,82299,2082
New Mexico,35029,Luna County,23963,2080
Massachusetts,25003,Berkshire County,126348,2068
Illinois,17021,Christian County,32661,2068
Texas,48347,Nacogdoches County,65711,2067
Oklahoma,40153,Woodward County,20222,2065
Georgia,13053,Chattahoochee County,10684,2065
Texas,48349,Navarro County,49565,2057
Georgia,13255,Spalding County,66100,2056
Ohio,39135,Preble County,40997,2055
Missouri,29105,Laclede County,35713,2055
California,6103,Tehama County,63916,2049
Kansas,20079,Harvey County,34210,2047
Missouri,29109,Lawrence County,38359,2044
Tennessee,47181,Wayne County,16558,2043
Indiana,18107,Montgomery County,38346,2043
North Carolina,37141,Pender County,62162,2039
Oklahoma,40065,Jackson County,24949,2038
Idaho,16053,Jerome County,24015,2037
Texas,48049,Brown County,37924,2036
Illinois,17107,Logan County,28925,2036
Arkansas,5009,Boone County,37480,2033
Tennessee,47185,White County,27107,2029
Mississippi,28133,Sunflower County,25735,2027
Missouri,29161,Phelps County,44732,2022
Michigan,26157,Tuscola County,52516,2018
Minnesota,27153,Todd County,24582,2018
Tennessee,47103,Lincoln County,34117,2016
Alabama,1123,Tallapoosa County,40497,2009
Tennessee,47017,Carroll County,28020,2008
Wisconsin,55053,Jackson County,20478,2006
North Carolina,37181,Vance County,44582,2005
Pennsylvania,42061,Huntingdon County,45168,2004
Tennessee,47143,Rhea County,33044,2001
Missouri,29169,Pulaski County,52014,1995
Missouri,29127,Marion County,28592,1992
Michigan,26059,Hillsdale County,45749,1989
Missouri,29225,Webster County,39109,1989
Ohio,39167,Washington County,60155,1988
Kentucky,21199,Pulaski County,64623,1987
North Carolina,37031,Carteret County,69524,1985
Texas,48409,San Patricio County,66893,1985
Indiana,18073,Jasper County,33370,1984
Tennessee,47117,Marshall County,33683,1983
Tennessee,47111,Macon County,24265,1981
Indiana,18151,Steuben County,34586,1979
Oregon,41071,Yamhill County,107002,1978
Louisiana,22087,St. Bernard Parish,46721,1976
Nebraska,31001,Adams County,31511,1975
Mississippi,28149,Warren County,46176,1975
Oklahoma,40115,Ottawa County,31175,1973
Oklahoma,40137,Stephens County,43265,1972
Georgia,13213,Murray County,39921,1970
Indiana,18027,Daviess County,33147,1965
Tennessee,47071,Hardin County,25776,1962
Kentucky,21209,Scott County,56031,1962
Oklahoma,40111,Okmulgee County,38335,1960
New York,36013,Chautauqua County,127939,1960
Pennsylvania,42009,Bedford County,48176,1959
Indiana,18137,Ripley County,28523,1959
Georgia,13299,Ware County,35680,1957
Pennsylvania,42119,Union County,44785,1954
Kentucky,21035,Calloway County,39135,1953
New Hampshire,33017,Strafford County,130090,1952
Indiana,18061,Harrison County,40350,1952
Texas,48055,Caldwell County,43247,1947
Tennessee,47169,Trousdale County,11012,1946
Illinois,17075,Iroquois County,27604,1945
Mississippi,28145,Union County,28606,1942
Ohio,39039,Defiance County,38165,1941
Oklahoma,40135,Sequoyah County,41179,1934
Mississippi,28137,Tate County,28759,1934
Michigan,26043,Dickinson County,25383,1927
Alabama,1017,Chambers County,33615,1923
Oklahoma,40019,Carter County,48177,1918
Wisconsin,55045,Green County,36929,1916
South Carolina,45025,Chesterfield County,45754,1915
South Dakota,46093,Meade County,28294,1914
Wisconsin,55137,Waushara County,24263,1906
Montana,30003,Big Horn County,13338,1904
Louisiana,22053,Jefferson Davis Parish,31582,1904
Indiana,18183,Whitley County,34074,1901
Michigan,26057,Gratiot County,40599,1899
Michigan,26123,Newaygo County,48892,1899
Indiana,18041,Fayette County,23047,1898
Missouri,29165,Platte County,102985,1893
New Jersey,34033,Salem County,62607,1891
North Carolina,37003,Alexander County,37353,1886
Iowa,19047,Crawford County,17158,1880
Idaho,16057,Latah County,40134,1875
Texas,48449,Titus County,33033,1871
Georgia,13039,Camden County,53677,1868
North Carolina,37013,Beaufort County,47079,1867
Kentucky,21235,Whitley County,36242,1866
Oregon,41043,Linn County,127335,1862
Wisconsin,55061,Kewaunee County,20383,1854
Georgia,13275,Thomas County,44448,1854
West Virginia,54069,Ohio County,41755,1850
Texas,48143,Erath County,42446,1848
Tennessee,47021,Cheatham County,40439,1842
Florida,12049,Hardee County,27245,1836
Tennessee,47029,Cocke County,35774,1835
New Jersey,34009,Cape May County,92560,1835
Ohio,39083,Knox County,61893,1834
Idaho,16067,Minidoka County,20825,1833
West Virginia,54081,Raleigh County,74254,1832
Ohio,39051,Fulton County,42276,1832
Kansas,20035,Cowley County,35218,1832
Mississippi,28029,Copiah County,28543,1831
Arkansas,5111,Poinsett County,23974,1830
Oklahoma,40097,Mayes County,41107,1828
Minnesota,27103,Nicollet County,34220,1828
New Mexico,35006,Cibola County,26746,1827
Wyoming,56039,Teton County,23081,1822
Wisconsin,55029,Door County,27610,1822
Oklahoma,40083,Logan County,47291,1821
Arkansas,5133,Sevier County,17139,1820
Kansas,20009,Barton County,26111,1818
California,6045,Mendocino County,87606,1816
Louisiana,22041,Franklin Parish,20156,1814
Ohio,39091,Logan County,45358,1813
Vermont,50007,Chittenden County,164572,1813
Arkansas,5149,Yell County,21535,1812
California,6057,Nevada County,99696,1811
Iowa,19011,Benton County,25642,1810
Colorado,8087,Morgan County,28558,1809
Missouri,29207,Stoddard County,29206,1809
Florida,12129,Wakulla County,32461,1805
Alaska,2050,Bethel,18216,1799
Indiana,18069,Huntington County,36240,1799
Missouri,29069,Dunklin County,29423,1798
Virginia,51067,Franklin County,56195,1797
Montana,30081,Ravalli County,43172,1793
Tennessee,47013,Campbell County,39583,1790
Indiana,18087,LaGrange County,39330,1789
Ohio,39033,Crawford County,41550,1788
Texas,48481,Wharton County,41619,1785
Idaho,16075,Payette County,23551,1781
South Carolina,45023,Chester County,32251,1780
Idaho,16051,Jefferson County,29439,1779
Texas,48073,Cherokee County,52592,1779
Kansas,20113,McPherson County,28537,1779
Minnesota,27095,Mille Lacs County,26139,1778
Maine,23001,Androscoggin County,107679,1774
Mississippi,28109,Pearl River County,55387,1772
South Carolina,45089,Williamsburg County,30606,1769
Indiana,18133,Putnam County,37779,1766
Maryland,24009,Calvert County,92003,1766
South Dakota,46065,Hughes County,17650,1762
Indiana,18181,White County,24133,1762
Tennessee,47075,Haywood County,17335,1758
North Carolina,37197,Yadkin County,37543,1756
Florida,12123,Taylor County,21623,1753
Mississippi,28113,Pike County,39563,1752
Illinois,17057,Fulton County,34844,1752
Michigan,26061,Houghton County,36219,1750
Ohio,39005,Ashland County,53745,1749
West Virginia,54033,Harrison County,67554,1747
South Carolina,45033,Dillon County,30599,1746
Pennsylvania,42025,Carbon County,64227,1745
South Dakota,46102,Oglala Lakota County,14309,1741
Oklahoma,40049,Garvin County,27811,1740
Colorado,8117,Summit County,31007,1739
Tennessee,47079,Henry County,32358,1738
Texas,48341,Moore County,21485,1728
Mississippi,28057,Itawamba County,23517,1727
Arkansas,5139,Union County,39126,1719
Texas,48415,Scurry County,16866,1717
Mississippi,28123,Scott County,28287,1715
Virginia,51061,Fauquier County,70675,1714
Minnesota,27115,Pine County,29483,1713
Minnesota,27015,Brown County,25111,1712
Illinois,17109,McDonough County,29955,1711
Minnesota,27047,Freeborn County,30444,1710
Mississippi,28163,Yazoo County,28248,1707
Georgia,13279,Toombs County,26887,1706
Missouri,29147,Nodaway County,22304,1702
Wisconsin,55067,Langlade County,19268,1701
Alabama,1025,Clarke County,23920,1698
Kentucky,21089,Greenup County,35268,1695
Tennessee,47055,Giles County,29503,1690
Minnesota,27079,Le Sueur County,28494,1690
Missouri,29107,Lafayette County,32598,1690
Indiana,18031,Decatur County,26794,1690
Missouri,29195,Saline County,22895,1688
New York,36069,Ontario County,109864,1687
Pennsylvania,42037,Columbia County,65456,1683
Texas,48013,Atascosa County,50310,1681
Missouri,29091,Howell County,40076,1681
Alabama,1109,Pike County,33338,1680
Louisiana,22085,Sabine Parish,24032,1680
Colorado,8067,La Plata County,56310,1679
Missouri,29131,Miller County,25336,1679
Washington,53015,Cowlitz County,108987,1678
New Mexico,35035,Otero County,66781,1678
Texas,48253,Jones County,19817,1677
Texas,48117,Deaf Smith County,18760,1677
Florida,12133,Washington County,24880,1671
Indiana,18179,Wells County,28206,1671
Mississippi,28003,Alcorn County,36925,1666
Kentucky,21073,Franklin County,50815,1666
Georgia,13257,Stephens County,26035,1657
Ohio,39075,Holmes County,43892,1655
Hawaii,15001,Hawaii County,200983,1652
Texas,48325,Medina County,50921,1651
Arkansas,5015,Carroll County,28223,1646
West Virginia,54057,Mineral County,26940,1645
Mississippi,28027,Coahoma County,22628,1644
Missouri,29157,Perry County,19150,1644
Minnesota,27021,Cass County,29519,1643
Mississippi,28117,Prentiss County,25315,1641
West Virginia,54037,Jefferson County,56811,1638
Minnesota,27093,Meeker County,23141,1638
Tennessee,47133,Overton County,22068,1634
Indiana,18077,Jefferson County,32208,1624
Louisiana,22067,Morehouse Parish,25398,1617
Indiana,18135,Randolph County,24851,1614
Maryland,24047,Worcester County,51823,1613
Missouri,29167,Polk County,32201,1612
Alabama,1093,Marion County,29763,1607
Nebraska,31151,Saline County,14350,1606
Mississippi,28127,Simpson County,26758,1602
South Carolina,45069,Marlboro County,26398,1600
Louisiana,22115,Vernon Parish,48860,1596
Iowa,19171,Tama County,16904,1595
South Carolina,45029,Colleton County,37660,1590
Ohio,39027,Clinton County,42057,1585
Indiana,18021,Clay County,26170,1583
Ohio,39123,Ottawa County,40769,1582
West Virginia,54055,Mercer County,59131,1581
Virginia,51171,Shenandoah County,43497,1577
Arkansas,5005,Baxter County,41619,1576
North Carolina,37099,Jackson County,43327,1575
North Dakota,38079,Rolette County,14301,1573
Texas,48053,Burnet County,47542,1572
Georgia,13179,Liberty County,61497,1570
Iowa,19183,Washington County,22141,1569
Oklahoma,40081,Lincoln County,34920,1567
Iowa,19097,Jackson County,19432,1566
Nevada,32019,Lyon County,55808,1565
Florida,12075,Levy County,40770,1565
Missouri,29221,Washington County,24943,1564
Missouri,29009,Barry County,35886,1560
Tennessee,47159,Smith County,19942,1557
Alabama,1133,Winston County,23660,1555
Nebraska,31067,Gage County,21493,1550
Illinois,17173,Shelby County,21741,1549
Ohio,39171,Williams County,36804,1545
New Mexico,35039,Rio Arriba County,39006,1544
Iowa,19015,Boone County,26346,1544
Mississippi,28043,Grenada County,21055,1542
Mississippi,28001,Adams County,31192,1541
Kentucky,21177,Muhlenberg County,30774,1539
West Virginia,54051,Marshall County,30785,1538
Tennessee,47091,Johnson County,17778,1536
Indiana,18143,Scott County,23878,1534
Illinois,17041,Douglas County,19479,1531
Indiana,18129,Posey County,25540,1529
Illinois,17083,Jersey County,21847,1529
Wisconsin,55119,Taylor County,20412,1528
Georgia,13305,Wayne County,29808,1527
Louisiana,22077,Pointe Coupee Parish,21940,1526
