GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
22073,Louisiana,Ouachita Parish,154475,41053,92,0.5956,3,0.0194
53047,Washington,Okanogan County,42132,42462,25,0.5934,0,0.0
12077,Florida,Liberty County,8457,23582,5,0.5912,0,0.0
32003,Nevada,Clark County,2231647,47090,1315,0.5893,5,0.0022
12081,Florida,Manatee County,394855,47378,232,0.5876,4,0.0101
48479,Texas,Webb County,275910,31635,162,0.5871,2,0.0072
45053,South Carolina,Jasper County,28971,29242,17,0.5868,0,0.0
29009,Missouri,Barry County,35886,34540,21,0.5852,0,0.0
13139,Georgia,Hall County,202148,43701,118,0.5837,0,0.0
45013,South Carolina,Beaufort County,188715,56711,109,0.5776,3,0.0159
13185,Georgia,Lowndes County,116321,37443,67,0.576,0,0.0
01111,Alabama,Randolph County,22725,32411,13,0.5721,0,0.0
28135,Mississippi,Tallahatchie County,13987,27757,8,0.572,0,0.0
45049,South Carolina,Hampton County,19351,32473,11,0.5684,0,0.0
22113,Louisiana,Vermilion Parish,59830,39042,34,0.5683,1,0.0167
16045,Idaho,Gem County,17634,37796,10,0.5671,0,0.0
01021,Alabama,Chilton County,44153,34798,25,0.5662,0,0.0
17087,Illinois,Johnson County,12456,35956,7,0.562,0,0.0
01095,Alabama,Marshall County,96109,36044,54,0.5619,0,0.0
01049,Alabama,DeKalb County,71385,31916,40,0.5603,0,0.0
04013,Arizona,Maricopa County,4410824,47694,2471,0.5602,34,0.0077
28145,Mississippi,Union County,28606,32242,16,0.5593,0,0.0
28021,Mississippi,Claiborne County,9002,31494,5,0.5554,0,0.0
48049,Texas,Brown County,37924,38830,21,0.5537,0,0.0
29155,Missouri,Pemiscot County,16272,32811,9,0.5531,0,0.0
01119,Alabama,Sumter County,12691,31664,7,0.5516,0,0.0
19003,Iowa,Adams County,3645,66319,2,0.5487,0,0.0
13071,Georgia,Colquitt County,45592,32526,25,0.5483,0,0.0
40129,Oklahoma,Roger Mills County,3656,48554,2,0.547,0,0.0
48039,Texas,Brazoria County,370200,47239,202,0.5457,0,0.0
28049,Mississippi,Hinds County,237085,39311,129,0.5441,4,0.0169
12121,Florida,Suwannee County,44191,33068,24,0.5431,0,0.0
01059,Alabama,Franklin County,31363,34318,17,0.542,0,0.0
16009,Idaho,Benewah County,9226,37383,5,0.5419,0,0.0
48091,Texas,Comal County,148373,58067,80,0.5392,5,0.0337
12021,Florida,Collier County,378488,92686,204,0.539,1,0.0026
48249,Texas,Jim Wells County,40822,40570,22,0.5389,0,0.0
22065,Louisiana,Madison Parish,11161,32437,6,0.5376,1,0.0896
04023,Arizona,Santa Cruz County,46511,39057,25,0.5375,0,0.0
01113,Alabama,Russell County,57781,33104,31,0.5365,0,0.0
48073,Texas,Cherokee County,52592,34468,28,0.5324,0,0.0
48055,Texas,Caldwell County,43247,33668,23,0.5318,0,0.0
12095,Florida,Orange County,1380645,44647,734,0.5316,8,0.0058
48283,Texas,La Salle County,7531,35809,4,0.5311,0,0.0
01033,Alabama,Colbert County,54762,38378,29,0.5296,0,0.0
55051,Wisconsin,Iron County,5676,51471,3,0.5285,0,0.0
47189,Tennessee,Wilson County,140625,49092,74,0.5262,0,0.0
19127,Iowa,Marshall County,39981,43652,21,0.5252,1,0.025
48349,Texas,Navarro County,49565,37922,26,0.5246,1,0.0202
13075,Georgia,Cook County,17162,32524,9,0.5244,0,0.0
47149,Tennessee,Rutherford County,324890,41031,170,0.5233,1,0.0031
01067,Alabama,Henry County,17209,40360,9,0.523,0,0.0
41045,Oregon,Malheur County,30725,30992,16,0.5207,2,0.0651
29143,Missouri,New Madrid County,17296,33869,9,0.5204,0,0.0
45019,South Carolina,Charleston County,405905,61477,211,0.5198,11,0.0271
47021,Tennessee,Cheatham County,40439,43932,21,0.5193,1,0.0247
45071,South Carolina,Newberry County,38520,37793,20,0.5192,0,0.0
48137,Texas,Edwards County,1928,35182,1,0.5187,0,0.0
01003,Alabama,Baldwin County,218022,45596,113,0.5183,1,0.0046
48167,Texas,Galveston County,337890,51785,175,0.5179,0,0.0
22051,Louisiana,Jefferson Parish,434051,51005,222,0.5115,2,0.0046
12123,Florida,Taylor County,21623,30346,11,0.5087,0,0.0
37155,North Carolina,Robeson County,131831,29438,67,0.5082,0,0.0
22033,Louisiana,East Baton Rouge Parish,440956,51386,224,0.508,1,0.0023
01073,Alabama,Jefferson County,659300,54730,332,0.5036,5,0.0076
37163,North Carolina,Sampson County,63626,35900,32,0.5029,0,0.0
28111,Mississippi,Perry County,11931,31934,6,0.5029,0,0.0
13129,Georgia,Gordon County,57685,36947,29,0.5027,0,0.0
13251,Georgia,Screven County,13938,35010,7,0.5022,0,0.0
01085,Alabama,Lowndes County,9974,38991,5,0.5013,0,0.0
48307,Texas,McCulloch County,7987,37927,4,0.5008,0,0.0
28085,Mississippi,Lincoln County,34205,38682,17,0.497,0,0.0
28159,Mississippi,Winston County,18165,35742,9,0.4955,0,0.0
47047,Tennessee,Fayette County,40507,55364,20,0.4937,0,0.0
53007,Washington,Chelan County,77036,54763,38,0.4933,-1,-0.013
37039,North Carolina,Cherokee County,28383,32266,14,0.4933,0,0.0
13127,Georgia,Glynn County,85219,46073,42,0.4928,0,0.0
48387,Texas,Red River County,12175,40648,6,0.4928,0,0.0
28007,Mississippi,Attala County,18365,33809,9,0.4901,0,0.0
12065,Florida,Jefferson County,14288,40736,7,0.4899,0,0.0
38061,North Dakota,Mountrail County,10218,58955,5,0.4893,1,0.0979
22047,Louisiana,Iberville Parish,32721,41423,16,0.489,0,0.0
01121,Alabama,Talladega County,79828,34718,39,0.4886,0,0.0
01051,Alabama,Elmore County,81887,42269,40,0.4885,1,0.0122
28013,Mississippi,Calhoun County,14436,33043,7,0.4849,0,0.0
19099,Iowa,Jasper County,37147,43551,18,0.4846,0,0.0
28053,Mississippi,Humphreys County,8257,31864,4,0.4844,0,0.0
45015,South Carolina,Berkeley County,221091,40415,106,0.4794,3,0.0136
12019,Florida,Clay County,216072,42909,103,0.4767,0,0.0
56039,Wyoming,Teton County,23081,251728,11,0.4766,0,0.0
12131,Florida,Walton County,71375,59728,34,0.4764,0,0.0
13025,Georgia,Brantley County,18897,27413,9,0.4763,0,0.0
19189,Iowa,Winnebago County,10518,44528,5,0.4754,0,0.0
28087,Mississippi,Lowndes County,58930,38498,28,0.4751,0,0.0
48303,Texas,Lubbock County,307412,42569,146,0.4749,-1,-0.0033
45087,South Carolina,Union County,27410,32745,13,0.4743,0,0.0
19131,Iowa,Mitchell County,10569,63318,5,0.4731,0,0.0
06099,California,Stanislaus County,549815,44120,260,0.4729,0,0.0
13195,Georgia,Madison County,29650,36557,14,0.4722,0,0.0
12125,Florida,Union County,14940,22227,7,0.4685,0,0.0
48095,Texas,Concho County,4276,19801,2,0.4677,0,0.0
48327,Texas,Menard County,2139,35311,1,0.4675,0,0.0
48319,Texas,Mason County,4280,44601,2,0.4673,0,0.0
28035,Mississippi,Forrest County,75036,38880,35,0.4664,1,0.0133
22037,Louisiana,East Feliciana Parish,19305,42771,9,0.4662,0,0.0
13045,Georgia,Carroll County,118121,38571,55,0.4656,0,0.0
45023,South Carolina,Chester County,32251,34014,15,0.4651,1,0.031
47023,Tennessee,Chester County,17276,33642,8,0.4631,0,0.0
47157,Tennessee,Shelby County,935764,49465,433,0.4627,0,0.0
12059,Florida,Holmes County,19477,30468,9,0.4621,0,0.0
04027,Arizona,Yuma County,212128,35682,98,0.462,1,0.0047
38085,North Dakota,Sioux County,4358,27662,2,0.4589,0,0.0
48453,Texas,Travis County,1248743,67504,572,0.4581,4,0.0032
16053,Idaho,Jerome County,24015,38184,11,0.458,0,0.0
28125,Mississippi,Sharkey County,4377,32070,2,0.4569,0,0.0
22105,Louisiana,Tangipahoa Parish,133777,38974,61,0.456,1,0.0075
28157,Mississippi,Wilkinson County,8792,29413,4,0.455,0,0.0
48449,Texas,Titus County,33033,34718,15,0.4541,0,0.0
22121,Louisiana,West Baton Rouge Parish,26427,46976,12,0.4541,0,0.0
48109,Texas,Culberson County,2204,54180,1,0.4537,0,0.0
21105,Kentucky,Hickman County,4421,44912,2,0.4524,0,0.0
12113,Florida,Santa Rosa County,179349,44527,81,0.4516,1,0.0056
22117,Louisiana,Washington Parish,46582,33480,21,0.4508,0,0.0
01009,Alabama,Blount County,57840,34976,26,0.4495,0,0.0
28083,Mississippi,Leflore County,28919,36399,13,0.4495,0,0.0
20111,Kansas,Lyon County,33406,38297,15,0.449,0,0.0
45041,South Carolina,Florence County,138159,41833,62,0.4488,1,0.0072
47053,Tennessee,Gibson County,49045,38654,22,0.4486,0,0.0
05097,Arkansas,Montgomery County,8924,30834,4,0.4482,0,0.0
47041,Tennessee,DeKalb County,20138,40132,9,0.4469,0,0.0
18037,Indiana,Dubois County,42565,56488,19,0.4464,0,0.0
48131,Texas,Duval County,11212,36418,5,0.446,0,0.0
01047,Alabama,Dallas County,38310,36026,17,0.4437,0,0.0
56041,Wyoming,Uinta County,20299,40280,9,0.4434,0,0.0
06037,California,Los Angeles County,10105518,62224,4459,0.4412,52,0.0051
47103,Tennessee,Lincoln County,34117,41388,15,0.4397,0,0.0
16055,Idaho,Kootenai County,161505,44987,71,0.4396,0,0.0
47081,Tennessee,Hickman County,25063,32780,11,0.4389,0,0.0
28075,Mississippi,Lauderdale County,75317,37959,33,0.4381,0,0.0
08043,Colorado,Fremont County,48021,35435,21,0.4373,0,0.0
05093,Arkansas,Mississippi County,41239,31428,18,0.4365,1,0.0242
13207,Georgia,Monroe County,27520,44790,12,0.436,0,0.0
05095,Arkansas,Monroe County,6900,32651,3,0.4348,0,0.0
48223,Texas,Hopkins County,36810,39120,16,0.4347,0,0.0
48203,Texas,Harrison County,66726,41917,29,0.4346,0,0.0
28117,Mississippi,Prentiss County,25315,30743,11,0.4345,2,0.079
08115,Colorado,Sedgwick County,2303,49004,1,0.4342,0,0.0
45045,South Carolina,Greenville County,514213,48644,223,0.4337,16,0.0311
12099,Florida,Palm Beach County,1485941,79760,644,0.4334,4,0.0027
29119,Missouri,McDonald County,23078,28018,10,0.4333,0,0.0
12079,Florida,Madison County,18529,31675,8,0.4318,0,0.0
01015,Alabama,Calhoun County,114277,37120,49,0.4288,0,0.0
01103,Alabama,Morgan County,119089,39991,51,0.4283,0,0.0
22087,Louisiana,St. Bernard Parish,46721,32130,20,0.4281,0,0.0
22093,Louisiana,St. James Parish,21037,48484,9,0.4278,0,0.0
47039,Tennessee,Decatur County,11706,42639,5,0.4271,0,0.0
47097,Tennessee,Lauderdale County,25825,29187,11,0.4259,0,0.0
28119,Mississippi,Quitman County,7051,27088,3,0.4255,0,0.0
05015,Arkansas,Carroll County,28223,33690,12,0.4252,0,0.0
01127,Alabama,Walker County,63711,40197,27,0.4238,6,0.0942
29159,Missouri,Pettis County,42542,37763,18,0.4231,0,0.0
47187,Tennessee,Williamson County,231729,94872,98,0.4229,0,0.0
06031,California,Kings County,151366,35306,64,0.4228,0,0.0
28063,Mississippi,Jefferson County,7106,33098,3,0.4222,0,0.0
45051,South Carolina,Horry County,344147,37091,145,0.4213,4,0.0116
22079,Louisiana,Rapides Parish,130562,46090,55,0.4213,0,0.0
48007,Texas,Aransas County,23792,48389,10,0.4203,0,0.0
32023,Nevada,Nye County,45346,37835,19,0.419,0,0.0
48407,Texas,San Jacinto County,28719,34514,12,0.4178,0,0.0
37109,North Carolina,Lincoln County,83770,45791,35,0.4178,0,0.0
13215,Georgia,Muscogee County,194160,44149,81,0.4172,0,0.0
29109,Missouri,Lawrence County,38359,34301,16,0.4171,0,0.0
13121,Georgia,Fulton County,1050114,84386,438,0.4171,2,0.0019
01083,Alabama,Limestone County,96174,42546,40,0.4159,0,0.0
21013,Kentucky,Bell County,26569,29612,11,0.414,0,0.0
47111,Tennessee,Macon County,24265,33297,10,0.4121,0,0.0
12071,Florida,Lee County,754610,51266,311,0.4121,0,0.0
05071,Arkansas,Johnson County,26742,28970,11,0.4113,0,0.0
48439,Texas,Tarrant County,2084931,51239,857,0.411,5,0.0024
28107,Mississippi,Panola County,34178,32496,14,0.4096,0,0.0
22029,Louisiana,Concordia Parish,19572,32942,8,0.4087,0,0.0
05133,Arkansas,Sevier County,17139,31436,7,0.4084,0,0.0
40141,Oklahoma,Tillman County,7348,39961,3,0.4083,0,0.0
01031,Alabama,Coffee County,51909,43094,21,0.4046,0,0.0
48141,Texas,El Paso County,840758,35856,340,0.4044,14,0.0167
28113,Mississippi,Pike County,39563,31048,16,0.4044,0,0.0
13131,Georgia,Grady County,24748,34899,10,0.4041,0,0.0
48161,Texas,Freestone County,19808,37066,8,0.4039,0,0.0
13305,Georgia,Wayne County,29808,31954,12,0.4026,0,0.0
19195,Iowa,Worth County,7453,42321,3,0.4025,0,0.0
21083,Kentucky,Graves County,37317,38130,15,0.402,0,0.0
12133,Florida,Washington County,24880,29414,10,0.4019,0,0.0
01069,Alabama,Houston County,104722,42398,42,0.4011,0,0.0
29221,Missouri,Washington County,24943,29606,10,0.4009,0,0.0
47165,Tennessee,Sumner County,187149,48656,75,0.4008,0,0.0
05023,Arkansas,Cleburne County,24965,38307,10,0.4006,0,0.0
48113,Texas,Dallas County,2637772,58993,1055,0.4,8,0.003
55079,Wisconsin,Milwaukee County,948201,47589,378,0.3986,0,0.0
