GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased_per_1000
30087,Montana,Rosebud County,9063,42250,907,100.0772,2.7585
46121,South Dakota,Todd County,10283,25157,1029,100.0681,1.4587
38041,North Dakota,Hettinger County,2514,51130,251,99.8409,1.1933
46065,South Dakota,Hughes County,17650,52986,1762,99.83,1.1898
55115,Wisconsin,Shawano County,40796,42290,4070,99.7647,1.2501
46013,South Dakota,Brown County,39316,52652,3915,99.5778,0.763
28055,Mississippi,Issaquena County,1308,18541,130,99.3884,3.0581
40003,Oklahoma,Alfalfa County,5754,40624,571,99.2353,0.1738
46083,South Dakota,Lincoln County,58807,67364,5835,99.2229,0.9353
31141,Nebraska,Platte County,33363,49386,3305,99.0618,0.9891
31119,Nebraska,Madison County,35392,50630,3501,98.9207,0.8194
02050,Alaska,Bethel,18216,43500,1799,98.7593,0.3843
38017,North Dakota,Cass County,181516,56070,17888,98.5478,0.7492
30011,Montana,Carter County,1238,44358,122,98.546,3.231
20199,Kansas,Wallace County,1503,56954,148,98.4697,0.0
46095,South Dakota,Mellette County,2042,28152,201,98.4329,0.4897
38033,North Dakota,Golden Valley County,1769,43871,174,98.3607,0.0
46069,South Dakota,Hyde County,1282,52133,126,98.2839,0.0
04023,Arizona,Santa Cruz County,46511,39057,4569,98.2348,1.634
55053,Wisconsin,Jackson County,20478,46528,2006,97.9588,0.293
17027,Illinois,Clinton County,37639,48253,3684,97.8772,1.6472
46129,South Dakota,Walworth County,5587,45924,546,97.7269,2.3268
17051,Illinois,Fayette County,21416,35456,2088,97.4972,1.7744
38097,North Dakota,Traill County,8037,51103,782,97.3,1.3687
38045,North Dakota,LaMoure County,4062,56134,394,96.9966,3.9389
19161,Iowa,Sac County,9719,56931,942,96.9236,0.926
18039,Indiana,Elkhart County,205560,46816,19915,96.8817,1.3329
04027,Arizona,Yuma County,212128,35682,20490,96.5926,1.9328
27083,Minnesota,Lyon County,25629,49455,2474,96.5313,0.6633
47131,Tennessee,Obion County,30267,40666,2917,96.3756,1.8832
27145,Minnesota,Stearns County,159256,47196,15303,96.0906,0.8351
16031,Idaho,Cassia County,23864,45220,2291,96.0023,0.7962
38051,North Dakota,McIntosh County,2585,59596,248,95.9381,2.7079
27133,Minnesota,Rock County,9414,51956,902,95.8147,1.0622
38067,North Dakota,Pembina County,6947,50088,665,95.7248,1.1516
06025,California,Imperial County,181827,36974,17400,95.6954,1.9799
46007,South Dakota,Bennett County,3468,29462,331,95.4441,1.4418
55039,Wisconsin,Fond du Lac County,103066,48126,9812,95.2011,0.5433
17017,Illinois,Cass County,12260,42649,1166,95.106,1.3051
46115,South Dakota,Spink County,6495,52479,617,94.9962,2.9253
46077,South Dakota,Kingsbury County,4919,50975,467,94.938,2.4395
55083,Wisconsin,Oconto County,37830,45609,3574,94.4753,0.8459
19171,Iowa,Tama County,16904,46483,1595,94.3564,2.4846
20051,Kansas,Ellis County,28710,46465,2707,94.2877,0.9753
19119,Iowa,Lyon County,11811,60892,1113,94.2342,0.8467
13259,Georgia,Stewart County,6199,22771,584,94.2087,2.7424
29211,Missouri,Sullivan County,6221,37649,586,94.1971,1.1252
19189,Iowa,Winnebago County,10518,44528,988,93.9342,2.3769
47069,Tennessee,Hardeman County,25220,29430,2367,93.8541,1.5464
55009,Wisconsin,Brown County,263378,52821,24697,93.7702,0.5657
27135,Minnesota,Roseau County,15150,51307,1419,93.6634,0.462
19143,Iowa,Osceola County,6040,57164,564,93.3775,0.3311
17049,Illinois,Effingham County,34208,50599,3191,93.2823,0.9355
27033,Minnesota,Cottonwood County,11277,47982,1051,93.1985,0.4434
46097,South Dakota,Miner County,2213,52938,206,93.0863,2.2594
38073,North Dakota,Ransom County,5237,55912,486,92.8012,1.7185
20147,Kansas,Phillips County,5317,51320,493,92.7215,2.2569
06035,California,Lassen County,30802,37844,2856,92.7213,0.0974
31125,Nebraska,Nance County,3532,38000,327,92.5821,1.1325
47045,Tennessee,Dyer County,37320,40642,3454,92.5509,1.4469
19127,Iowa,Marshall County,39981,43652,3690,92.2938,1.2756
38043,North Dakota,Kidder County,2450,50285,226,92.2449,2.8571
20155,Kansas,Reno County,62342,41111,5740,92.0728,1.0106
19151,Iowa,Pocahontas County,6740,52699,620,91.9881,0.5935
18017,Indiana,Cass County,37955,38788,3491,91.9773,0.9221
31047,Nebraska,Dawson County,23709,43055,2179,91.906,0.8857
46135,South Dakota,Yankton County,22869,50275,2098,91.7399,0.6559
38081,North Dakota,Sargent County,3870,65448,355,91.7313,1.292
27119,Minnesota,Polk County,31529,48820,2890,91.6616,0.9515
40107,Oklahoma,Okfuskee County,12098,30092,1106,91.4201,1.2399
55121,Wisconsin,Trempealeau County,29442,44698,2687,91.2642,0.7472
46055,South Dakota,Haakon County,1918,49880,175,91.2409,1.5641
21063,Kentucky,Elliott County,7508,22481,685,91.236,0.1332
56013,Wyoming,Fremont County,39531,43633,3604,91.169,1.0372
12077,Florida,Liberty County,8457,23582,770,91.0488,1.6554
55061,Wisconsin,Kewaunee County,20383,46197,1854,90.9582,1.0793
38047,North Dakota,Logan County,1903,60543,173,90.9091,3.1529
46059,South Dakota,Hand County,3262,55673,296,90.7419,0.3066
19035,Iowa,Cherokee County,11321,62827,1027,90.7164,0.3533
19063,Iowa,Emmet County,9253,43501,839,90.6733,2.8099
05059,Arkansas,Hot Spring County,33701,30580,3052,90.5611,1.3353
38105,North Dakota,Williams County,35350,68874,3201,90.5516,0.6506
20157,Kansas,Republic County,4664,44273,422,90.4803,1.5009
48381,Texas,Randall County,136271,47966,12329,90.4741,0.998
19081,Iowa,Hancock County,10712,54791,969,90.4593,0.7468
19033,Iowa,Cerro Gordo County,42647,53342,3854,90.3698,1.2193
55041,Wisconsin,Forest County,8991,41517,812,90.3125,2.1132
55015,Wisconsin,Calumet County,50159,50776,4519,90.0935,0.5782
22041,Louisiana,Franklin Parish,20156,31928,1814,89.998,3.3737
30091,Montana,Sheridan County,3424,52541,308,89.9533,0.8762
55037,Wisconsin,Florence County,4321,54346,388,89.794,2.7771
55139,Wisconsin,Winnebago County,171020,48101,15347,89.738,0.7718
38009,North Dakota,Bottineau County,6411,58823,575,89.6896,2.9637
12125,Florida,Union County,14940,22227,1339,89.6252,4.083
12086,Florida,Miami-Dade County,2761581,50022,247414,89.5914,1.4216
48117,Texas,Deaf Smith County,18760,40470,1677,89.3923,2.2921
48323,Texas,Maverick County,58485,30505,5220,89.2537,3.0435
20167,Kansas,Russell County,6907,44443,616,89.1849,2.4613
20109,Kansas,Logan County,2844,47852,253,88.9592,0.0
27117,Minnesota,Pipestone County,9047,58004,804,88.8692,1.9896
30025,Montana,Fallon County,2920,49509,259,88.6986,0.3425
55023,Wisconsin,Crawford County,16291,41485,1441,88.4537,0.5525
20013,Kansas,Brown County,9598,43023,848,88.3517,1.2503
55067,Wisconsin,Langlade County,19268,43223,1701,88.2811,1.5051
46137,South Dakota,Ziebach County,2742,20571,242,88.2567,2.5529
19055,Iowa,Delaware County,17069,51998,1506,88.2301,1.2889
27023,Minnesota,Chippewa County,11924,49836,1051,88.1416,1.1741
55117,Wisconsin,Sheboygan County,115456,52851,10173,88.1115,0.5716
38013,North Dakota,Burke County,2100,63721,185,88.0952,0.4762
20195,Kansas,Trego County,2793,50889,246,88.0773,0.358
16067,Idaho,Minidoka County,20825,38159,1833,88.0192,0.8643
19059,Iowa,Dickinson County,17153,58592,1509,87.9729,0.6996
29051,Missouri,Cole County,76796,47790,6728,87.6087,0.7813
19091,Iowa,Humboldt County,9547,50201,836,87.5668,0.6285
49049,Utah,Utah County,622213,40919,54440,87.4942,0.2588
30041,Montana,Hill County,16347,45017,1429,87.4167,1.7129
55005,Wisconsin,Barron County,45164,49431,3945,87.3483,1.0407
30035,Montana,Glacier County,13747,34458,1200,87.2918,1.6003
19013,Iowa,Black Hawk County,132408,44764,11547,87.2077,1.148
01059,Alabama,Franklin County,31363,34318,2733,87.1409,1.0841
05093,Arkansas,Mississippi County,41239,31428,3592,87.102,2.1097
48279,Texas,Lamb County,13158,38247,1146,87.0953,4.028
30109,Montana,Wibaux County,1034,50940,90,87.0406,3.8685
27165,Minnesota,Watonwan County,10980,42979,955,86.9763,0.3643
47033,Tennessee,Crockett County,14328,36560,1245,86.8928,2.024
35029,New Mexico,Luna County,23963,31140,2080,86.8005,1.3354
46057,South Dakota,Hamlin County,6111,44209,530,86.7288,3.1091
05123,Arkansas,St. Francis County,25439,27948,2206,86.7172,0.629
20111,Kansas,Lyon County,33406,38297,2895,86.6611,1.4967
46081,South Dakota,Lawrence County,25741,50232,2230,86.6322,0.8935
27027,Minnesota,Clay County,63955,43180,5537,86.5765,1.0007
31053,Nebraska,Dodge County,36791,47330,3181,86.4614,1.0872
47007,Tennessee,Bledsoe County,14755,26281,1275,86.4114,0.3389
17153,Illinois,Pulaski County,5463,36146,472,86.3994,0.3661
47091,Tennessee,Johnson County,17778,32249,1536,86.3989,1.35
19109,Iowa,Kossuth County,14908,52992,1286,86.2624,0.6037
17091,Illinois,Kankakee County,110024,41290,9475,86.1176,1.0816
46127,South Dakota,Union County,15619,107497,1345,86.1131,1.6006
29157,Missouri,Perry County,19150,41321,1644,85.8486,0.6789
48445,Texas,Terry County,12287,32062,1054,85.7817,2.4416
39101,Ohio,Marion County,65256,38252,5576,85.4481,1.0574
47039,Tennessee,Decatur County,11706,42639,1000,85.4263,1.196
55075,Wisconsin,Marinette County,40434,44014,3452,85.3737,0.8903
27009,Minnesota,Benton County,40545,43830,3457,85.2633,1.4305
48105,Texas,Crockett County,3499,41472,298,85.1672,2.0006
55135,Wisconsin,Waupaca County,51128,45629,4354,85.1588,1.7994
22003,Louisiana,Allen Parish,25605,33381,2180,85.1396,2.6948
30023,Montana,Deer Lodge County,9131,39063,776,84.9852,1.0952
20023,Kansas,Cheyenne County,2660,47268,226,84.9624,3.3835
19093,Iowa,Ida County,6841,52758,581,84.9291,2.3388
30021,Montana,Dawson County,8680,45295,737,84.9078,1.8433
16053,Idaho,Jerome County,24015,38184,2037,84.822,0.583
28011,Mississippi,Bolivar County,31333,38213,2657,84.7988,2.8405
48253,Texas,Jones County,19817,30559,1677,84.6243,0.7569
